Rotation,Fertilizer,Depth,Mean55,Mean05,SD05,Diff
C-C,none,0-15,1.376,1.168,0.007,-0.208
C-C,none,15-30,1.342,1.068,0.008,-0.274
C-C,none,30-46,1.02,0.996,0.006,-0.024
C-C,NPK,0-15,1.376,1.268,0.008,-0.108
C-C,NPK,15-30,1.342,1.21,0.01,-0.132
C-C,NPK,30-46,1.02,0.751,0.006,-0.269
C-C,HNPK,0-15,1.534,1.421,0.014,-0.113
C-C,HNPK,15-30,1.568,1.371,0.01,-0.197
C-C,HNPK,30-46,1.476,1.026,0.008,-0.45
C-O(S),none,0-15,1.487,1.412,0.014,-0.0750000000000002
C-O(S),none,15-30,1.638,1.312,0.008,-0.326
C-O(S),none,30-46,1.46,1.284,0.009,-0.176
C-O(S),NPK,0-15,1.487,1.5,0.013,0.0129999999999999
C-O(S),NPK,15-30,1.638,1.429,0.007,-0.209
C-O(S),NPK,30-46,1.46,1.248,0.01,-0.212
C-O(S),HNPK,0-15,1.89,1.449,0.005,-0.441
C-O(S),HNPK,15-30,1.707,1.426,0.008,-0.281
C-O(S),HNPK,30-46,1.408,1.061,0.01,-0.347
C-O-H,none,0-15,1.695,1.688,0.008,-0.00700000000000012
C-O-H,none,15-30,1.661,1.526,0.014,-0.135
C-O-H,none,30-46,1.461,1.055,0.004,-0.406
C-O-H,NPK,0-15,1.695,1.681,0.006,-0.014
C-O-H,NPK,15-30,1.661,1.63,0.01,-0.0310000000000001
C-O-H,NPK,30-46,1.461,1.163,0.009,-0.298
C-O-H,HNPK,0-15,2.109,1.887,0.005,-0.222
C-O-H,HNPK,15-30,1.926,1.63,0.004,-0.296
C-O-H,HNPK,30-46,1.622,1.12,0.009,-0.502
