Date,Mileage,Miles,Gallons,MPG,Month,Year
11/27/2018,42722,,,,November,2018
12/01/2018,42927,,,,December,2018
12/14/2018,43226,298,9.477,32.2,December,2018
12/23/2018,43495,,,34.2,December,2018
1/3/2019,43802,306,10.94,34.2,January,2019
1/18/2019,44132,329,9.02,31.5,January,2019
1/27/2019,44351,219,7.203,29.7,January,2019
2/11/2019,44620,269,9.416,,February,2019
2/26/2019,44911,290,11.68,30.1,February,2019
3/12/2019,45254,342,9.466,30.7,March,2019
3/20/2019,45584,330,10.115,34.3,March,2019
3/30/2019,45928,,,,March,2019
4/6/2019,46260,331,10.72,33.5,April,2019
4/19/2012,46604,344,9.849,32.8,April,2019
4/25/2019,46758,153,4.210,34.4,April,2019
4/27/2019,47114,356,10.745,35.9,April,2019
4/27/2019,47488,373,10.48,34.2,April,2019
5/9/2019,47815,326,10.13,32.5,May,2019
5/27/2019,48149,334,10.15,34.8,May,2019
6/15/2019,48527,370,11.929,35.8,June,2019
6/30/2019,48883,355,10.803,32.4,June,2019
8/24/2019,49284,401,11.378,37.7,August,2019
9/12/2019,49645,361,9.016,36.4,September,2019
9/21/2019,49988,342,9.731,,September,2019
10/2/2019,50339,351,10.19,35.2,October,2019
10/5/2019,50633,293,9.769,32.8,October,2019
10/13/2019,50967,334,10.25,31.8,October,2019
10/23/2019,51316,348,10.65,34.7,October,2019
11/7/2019,51951,326,9.774,33.3,November,2019
11/16/2019,52248,296,10.029,31.7,November,2019
11/26/2019,52576,328,9.675,32.3,November,2019
12/3/2019,52897,320,11.109,33,December,2019
12/12/2019,53271,374,10.123,33,December,2019
12/18/2019,53566,294,9.926,30.4,December,2019
1/1/2020,53838,272,8.604,31.4,January,2020
1/9/2020,54151,313,9.658,33.4,January,2020
1/15/2020,54394,242,8.996,,January,2020
1/27/2020,54738,344,9.823,,January,2020
2/14/2020,55380,315,9.586,30.4,February,2020
2/26/2020,55699,318,10.532,31.4,February,2020
3/4/2020,56040,340,10.252,32.4,March,2020
3/13/2020,56362,321,10.44,,March,2020
3/23/2020,56608,246,6.943,,March,2020
